"","Variable","PC","Loading"
"1","Outer_volume..cm3","PC1",0.109544022313567
"2","Outer_volume..cm3","PC2",-0.729609116654504
"3","Outer_volume..cm3","PC3",-0.311410679440974
"4","Outer_volume..cm3","PC4",-0.598613213835194
"5","Outer_volume..cm3","PC5",-0.0186538180824705
"6","Outer_volume..cm3","PC6",0.00287890481886097
"7","Mean_temperature","PC1",-0.542582071204834
"8","Mean_temperature","PC2",-0.0200484697115662
"9","Mean_temperature","PC3",-0.403192168602737
"10","Mean_temperature","PC4",0.141855022724635
"11","Mean_temperature","PC5",-0.113203292150554
"12","Mean_temperature","PC6",0.713933468343367
"13","Mean_rainfall","PC1",-0.470197469677519
"14","Mean_rainfall","PC2",-0.184981285337895
"15","Mean_rainfall","PC3",0.321191979548739
"16","Mean_rainfall","PC4",-0.0527530502439433
"17","Mean_rainfall","PC5",0.797998362479295
"18","Mean_rainfall","PC6",-0.0441328112347751
"19","Range_midpoint_latitude","PC1",0.539694195308019
"20","Range_midpoint_latitude","PC2",0.05950784826313
"21","Range_midpoint_latitude","PC3",0.384200584743797
"22","Range_midpoint_latitude","PC4",-0.176644891744988
"23","Range_midpoint_latitude","PC5",0.203982290511696
"24","Range_midpoint_latitude","PC6",0.696251900971516
"25","Insularity","PC1",-0.352107064258801
"26","Insularity","PC2",-0.265192734450116
"27","Insularity","PC3",0.699425304999226
"28","Insularity","PC4",-0.0875773100959705
"29","Insularity","PC5",-0.553505874385976
"30","Insularity","PC6",0.0495896501019045
"31","Loc_rock","PC1",0.239311373614322
"32","Loc_rock","PC2",-0.599318070327903
"33","Loc_rock","PC3",0.0221207954278233
"34","Loc_rock","PC4",0.761500679852888
"35","Loc_rock","PC5",0.0453666769270588
"36","Loc_rock","PC6",0.0334240430691951
